测试编号,编号,关键结论,段落编号,英文原文引句,判断,材料边界说明
FACTS_009,G01,自然产卵鱼遗传多样性更高，通常被认为比孵化场鱼更有活力。,P01,"Naturally spawned fish are genetically diverse and therefore considered to be more vigorous than the genetically more similar hatchery fish.",已由材料支持,无
FACTS_009,G02,鲑鱼相关诉讼中，法院认为 NMFS 可把孵化场鱼和野生鱼视为具有不同灭绝风险。,P01,"In this case, the court held that NMFS properly considered hatchery and wild fish as having different extinction risks in its listing decision.",已由材料支持,无
FACTS_009,G03,钢头鳟诉讼中，一审认定 HLP 不符合最佳可得科学数据，但上诉法院后来推翻了降级无效的结论。,P01,"The court found the HLP was invalid because it was not based on the best available scientific data. / The appellate court reversed the lower court’s holding that downlisting the fish was invalid",已由材料支持,无
FACTS_009,G04,斯特勒海狮西部种群 1990 年被列为濒危，数量下降数十年。,P01,"The western population of Steller sea lions was listed in 1990 as endangered under the ESA, and their abundance has been declining for several decades.",已由材料支持,无
FACTS_009,G05,狭鳕被提到为商业捕捞对象之一，NMFS 曾假设其高强度捕捞可能造成局部鱼类耗竭并使斯特勒海狮挨饿。,P01,"intense fishing for pollock, Pacific cod, and Atka mackerel off Alaska was causing localized depletion of these fish and therefore starving Steller sea lions.",已由材料支持,无
FACTS_009,G06,太平洋鳕鱼被提到为相关捕捞对象之一，且 2010 年相关捕捞限制重新引发争议。,P01,"NMFS restrictions on commercial Atka mackerel and Pacific cod fishing in the western Aleutians to protect western Steller sea lions reignited this controversy.",已由材料支持,无
FACTS_009,G07,Atka mackerel 被提到为相关捕捞对象之一，且 2010 年相关捕捞限制重新引发争议。,P01,"NMFS restrictions on commercial Atka mackerel and Pacific cod fishing in the western Aleutians to protect western Steller sea lions reignited this controversy.",已由材料支持,无
FACTS_009,G08,狼适应性强，且美国东部狼是否应作为独立物种并不确定。,P01,"Wolves are an adaptable species, as shown by their behavior and by their presence in a tremendous variety of ecosystems. / designating wolves found in the eastern United States as a separate species is not assured.",已由材料支持,无
FACTS_009,G09,红狼仅作为 FWS 拟承认第三种狼时的参照物种出现。,P01,"the U.S. Fish and Wildlife Service (FWS) proposed recognizing a third species of wolf (Canis lycaon), in addition to the gray and red wolf.",已由材料支持,无
FACTS_009,G10,长臂猿只作为 ESA 分类保护示例出现。,P01,"if a taxon is listed (for example the genus Hylobates), then all of the species of gibbons which belong to that genus are all protected.",已由材料支持,无
FACTS_009,G11,郊狼只在美国东部狼分类有效性争议中作为杂交证据对象出现。,P01,"The validity debate considers evidence related to mitochondrial DNA, morphology, evidence of hybridization with coyotes",已由材料支持,无
FACTS_009,G12,狗、熊、猫只在分类倾向的比喻中出现，材料未提供这些动物本身的事实信息。,P01,"if a carnivore is neither a dog nor a bear they call it a cat.",已由材料支持,无
