测试编号,编号,关键结论,段落编号,英文原文引句,判断,材料边界说明
"FACTS_003","G01","文章将该技术类比为文字和印刷术一类能推动其他发明发现的基础性发明。","P01","""facilitating all other inventions and discoveries""","已由材料支持","无"
"FACTS_003","G02","生成式系统如 GPT-4 正在改变知识生产并降低人们获取其益处的门槛。","P02","""revolutionising the production of knowledge""","已由材料支持","无"
"FACTS_003","G03","材料列出错误信息、偏见、歧视、压制性或破坏性滥用、生物武器知识扩散和网络攻击等风险。","P03","""generating false information, reinforcing bias and discrimination""","已由材料支持","无"
"FACTS_003","G04","材料认为该技术也可能改善生活，例子包括治癌、缓解气候变化影响和解决全球粮食不安全。","P04","""from curing cancer to mitigating the effects of climate change to solving global food insecurity""","已由材料支持","无"
"FACTS_003","G05","材料强调问题不在是否使用，而在如何使用。","P05","""The question is not whether to use it, but how.""","已由材料支持","无"
"FACTS_003","G06","美国被描述为有能力和责任牵头治理，并与全球伙伴合作。","P06","""has the ability and responsibility to lead on its governance""","已由材料支持","无"
"FACTS_003","G07","已采取的治理行动包括自动化系统设计与使用原则，以及提升用户保护的风险管理框架。","P07","""principles for how automated systems are designed and used""","已由材料支持","无"
"FACTS_003","G08","拜登宣布的领先公司承诺旨在增强安全、安保与信任，并覆盖内容识别、能力限制报告、信息共享和社会挑战导向开发。","P08","""designed to enhance safety, security and trust""","已由材料支持","无"
"FACTS_003","G09","G7 与日本主导的广岛进程将用于扩大并国际化这些承诺。","P10","""work with the G7 through the Japan-led Hiroshima Process""","已由材料支持","无"
"FACTS_003","G10","行为准则方向包括面向私营行为体和政府的国际行为准则，以及国家共同监管原则。","P10","""international code of conduct for private actors and governments""","已由材料支持","无"
"FACTS_003","G11","美国还将在美欧贸易和技术委员会等论坛协调国内做法。","P10","""US-EU Trade and Technology Council""","已由材料支持","无"
"FACTS_003","G12","国际合作包括与其他政府理解长期风险并推动更安全的未来。","P11","""global engagement to build a more secure future""","已由材料支持","无"
"FACTS_003","G13","发展中国家被认为应参与治理讨论，材料点名印度、全球伙伴关系和联合国讨论。","P12","""developing countries, whose voices are crucial to the global discussion""","已由材料支持","无"
"FACTS_003","G14","该技术可能加快联合国可持续发展目标相关努力，包括清洁水、消除贫困和公共健康。","P13","""deliver clean water and sanitation, eliminate poverty, advance public health""","已由材料支持","无"
"FACTS_003","G15","材料强调没有单个国家或公司能独自塑造未来，必须依靠国际社会合作。","P14","""No country or company can shape the future""","已由材料支持","无"
"FACTS_003","G16","材料未提供参与承诺的具体公司名称、作者姓名、行为准则全文或逐条执行细则。","无","无","根据提供材料无法判断","材料未提供参与承诺的具体公司名称、作者姓名、行为准则全文或逐条执行细则。"
