测试编号,编号,关键结论,段落编号,英文原文引句,判断,材料边界说明
FACTS_003,G01,GPT-4等强大生成系统正开启知识生产新纪元、提升机器生成原创内容与解决问题的能力、同时降低使用门槛,P02,"""Powerful generative AI systems like GPT-4 are ushering in a new era of this technology. They're revolutionising the production of knowledge: vastly increasing the capacity of machines to generate original content, perform complex tasks and solve important problems. They are also dramatically lowering the barriers for people to access AI and its benefits.""",已由材料支持,无
FACTS_003,G02,这些系统带来严重潜在危害：虚假信息、偏见歧视、被滥用于压制或破坏稳定目的、扩散生物武器或网络攻击知识,P03,"""These include the risk of AI generating false information, reinforcing bias and discrimination, being misused for repressive or destabilising purposes or proliferating the knowledge to make a bioweapon or conduct a cyber attack.""",已由材料支持,无
FACTS_003,G03,该技术拥有振奋人心的潜力：攻克癌症、缓解气候变化、解决粮食不安全；未来取决于人类的选择,P04,"""AI holds an exhilarating potential to improve people's lives and help solve some of the world's biggest challenges, from curing cancer to mitigating the effects of climate change to solving global food insecurity.""",已由材料支持,无
FACTS_003,G04,美国作为领先企业技术与人才的所在地、有能力和责任领导治理并与全球伙伴合作,P06,"""The United States, as home to many of the leading companies, technologies and minds driving the AI revolution, has the ability and responsibility to lead on its governance.""",已由材料支持,无
FACTS_003,G05,美国发布Blueprint for an AI Bill of Rights确立自动化系统设计使用原则、制定AI Risk Management Framework加强用户保护,P07,"""We set out a Blueprint for an AI Bill of Rights with principles for how automated systems are designed and used, and developed an AI Risk Management Framework to help improve user protections.""",已由材料支持,无
FACTS_003,G06,拜登宣布领先企业承诺含六项准则：增强安全信任、减轻滥用风险、支持区分人机内容的技术标准、鼓励报告能力局限、促进信息共享、推动开发应对社会重大挑战的系统,P08,"""These commitments will mitigate risks of AI including misuse, and support new technologies and standards to distinguish between human and AI-generated content. They will encourage companies and individuals to report on systems' capabilities and limitations, and facilitate information sharing. And they will promote the development of AI systems designed to address society's greatest challenges.""",已由材料支持,无
FACTS_003,G07,通过日本主导的广岛进程与G7合作国际化承诺、推动面向私营行为体和政府的国际行为准则code of conduct与面向各国的共同监管原则common regulatory principles、通过US-EU Trade and Technology Council协调国内方法,P10,"""G7-led action could inform an international code of conduct for private actors and governments, as well as common regulatory principles for states. As we co-ordinate globally, we will also align our domestic approaches in forums like the US-EU Trade and Technology Council.""",已由材料支持,无
FACTS_003,G08,美国将与其他政府合作建立长期风险共同理解、期待参加英国Global Summit on AI Safety,P11,"""The US looks forward to participating in the UK's Global Summit on AI Safety and other opportunities for global engagement to build a more secure future.""",已由材料支持,无
FACTS_003,G09,印度通过Global Partnership on AI发挥关键作用、美国通过联合国讨论推进包容性,P12,"""India will play a critical role, including through the Global Partnership on AI. We are also working on inclusivity for AI through discussions with the UN.""",已由材料支持,无
FACTS_003,G10,联合国SDGs仅完成约12%、该技术可通过加速清洁用水消除贫困推进公共卫生等改变轨迹,P13,"""Today, we're on track to meet just 12 per cent of the UN's Sustainable Development Goals. AI could change that trajectory by accelerating efforts to deliver clean water and sanitation, eliminate poverty, advance public health and further other development goals.""",已由材料支持,无
FACTS_003,G11,必须迅速且集体行动、没有国家或企业能单独塑造未来,P14,"""We must act quickly. We must also act collectively. No country or company can shape the future of AI alone.""",已由材料支持,无
FACTS_003,G12,本文作者为美国国务卿与美国商务部长,P15,"""The writers are US secretary of state and US secretary of commerce""",已由材料支持,无
