测试编号,编号,关键结论,段落编号,英文原文引句,判断,材料边界说明
FACTS_006,G01,核心黄金法则："己所欲，施于人",P01,"""THE GOLDEN RULE — DO UNTO OTHERS AS YOU WOULD HAVE THEM DO UNTO YOU.""",已由材料支持,无
FACTS_006,G02,第一条：有需求的顾客才是真正的顾客；产品差异不大时需靠服务质量拉开差距,P01,"""When there is not much difference between your product and the product of your competitor, there needs to be a BIG difference in the quality of service you provide your customer.""",已由材料支持,无
FACTS_006,G03,第二条：招聘具备良好客户服务技能的人；态度等于100%,P01,"""ATTITUDE IS A LITTLE THING THAT MAKES A BIG DIFFERENCE""; ""Seek out the great employees who already work for you. Interview them, find out what makes them tick. Write profiles of great employees. Find out what qualities they have in common. Then look to hire people with the same qualities.""",已由材料支持,无
FACTS_006,G04,第三条：培训员工了解店铺政策并以身作则,P01,"""BE THE EXAMPLE FOR YOUR EMPLOYEES TO EMULATE. DON'T ASK YOUR EMPLOYEES TO DO SOMETHING YOU WOULDN'T.""",已由材料支持,无
FACTS_006,G05,第三条的示例政策：10英尺规则、三袋必送、无论如何感谢顾客等,P01,"""10 ft rule – Greet the customer""; ""3 sacks = mandatory carry out""; ""Thank the Customer no matter what""",已由材料支持,无
FACTS_006,G06,第四条：交叉培训员工并明确任务、背景和标准,P01,"""Provide opportunities for employees to learn.""; ""Communicate the task. Describe exactly what you want done, when you want it done, and what end results you expect.""; ""Furnish context for the task.""; ""Determine standards.""",已由材料支持,无
FACTS_006,G07,第五条：培训员工通过人际互动建立融洽关系,P01,"""Teach your employees how to create excellent customer service through human interaction""",已由材料支持,无
FACTS_006,G08,第五条的具体要求：礼貌问候、友好氛围、专业精神、同理心、公平对待、言行得体,P01,"""All customers are greeted politely and courteously.""; ""Create an atmosphere of friendliness throughout each customer interaction.""; ""Professionalism is displayed through word and deeds.""; ""Show empathy and understanding for a customer with a problem""; ""All customers are treated fairly in every interaction with the store""; ""Conduct yourself with tact""",已由材料支持,无
FACTS_006,G09,第六条：了解并使用顾客名字，利用个人信息建立关系但避开敏感话题,P02,"""KNOW YOUR CUSTOMERS NAMES AND USE THEM""; ""Use the following to build positive relationships with your customers - KIDS NAMES, ACHIEVEMENTS, HONOR ROLL, MARRIAGE, NEW CAR, HAIR STYLE CHANGE""; ""STAY AWAY FROM PERSONAL SENSITIVE SUBJECTS""",已由材料支持,无
FACTS_006,G10,第六条：让顾客感到自己很重要,P02,"""EVERYONE HAS AN INVISIBLE SIGN HANGING FROM HIS OR HER NECK THAT READS 'MAKE ME FEEL IMPORTANT,' NEVER FORGET THIS WHEN WORKING WITH PEOPLE.""",已由材料支持,无
FACTS_006,G11,第七条：开放式问题鼓励人们谈论对自己重要的事，用于建立融洽关系、收集信息和增进理解,P02,"""Open-ended questions are questions that encourage people to talk about whatever is important to them. They help to establish rapport, gather information, and increase understanding.""",已由材料支持,无
FACTS_006,G12,第七条：开放式问题示例（How can I be of help? 等）,P02,"""Examples of open-ended questions: • How can I be of help? • Would you tell me more about ___? • Could you help me understand ___? • What are the good things and the less good things about ___?""",已由材料支持,无
FACTS_006,G13,第七条：运用真诚的肯定（Affirmations）认可顾客的积极行为,P02,"""Affirmations are statements and gestures that recognize client strengths and acknowledge behaviors that lead in the direction of positive change, no matter how big or small. Affirmations build confidence in one's ability to change. To be effective, affirmations must be genuine and congruent.""",已由材料支持,无
FACTS_006,G14,第八条：五项原则——紧迫感、主人翁意识、边做边学、终身学习、积极性,P02,"""EDUCATE YOUR EMPLOYEES ON FIVE PRINCIPLES OF A GOOD EMPLOYEE • URGENCY • OWNERSHIP • LEARN-BY-DOING • LIFELONG LEARNING • MOTIVATION""",已由材料支持,无
FACTS_006,G15,第八条：顾客不期望完美但期望出错时能解决问题,P02,"""Customers don't expect you to be perfect. They do expect you to fix things when they go wrong""",已由材料支持,无
FACTS_006,G16,第九条：永远不要与顾客争论，倾听,P02,"""NEVER ARGUE WITH A CUSTOMER. LISTEN! CLOSE YOUR MOUTH AND LISTEN!!""",已由材料支持,无
FACTS_006,G17,第九条：LARSON 方法六步骤（倾听、共识、复述、寻求解决方案、道歉、立即解决）,P03,"""Defusing Angry Customers using the LARSON approach • Listen let them vent. Empathize, take notes • Agreement find areas of agreement • Repeat/Restate use the customers words for clarification of issue • Seek Resolution Ask what can be done to resolve the problem • Offer a sincere apology We're sorry this happened and if were responsible we will make it right • Now solve the problem immediately""",已由材料支持,无
FACTS_006,G18,第九条：四R原则（Repeat, Review, Respond, Resolve）及道歉即使非己之错也能减轻愤怒,P03,"""THE FOUR R'S • REPEAT • REVIEW • RESPOND • RESOLVE""; ""Saying I'm sorry will often times reduce anger. Apologies even if it was not your fault.""",已由材料支持,无
FACTS_006,G19,第十条：十条建立顾客忠诚度的方法（负责、跟进、换位思考、感谢、分享资料、记住个人信息、微笑、变通、尊重时间、提供尊重友善和知识）,P03,"""10 WAYS TO BUILD CUSTOMER LOYALTY 1. Take ownership of your customer's problem. Even if you are not the cause of it. 2. Follow up with every customer who was upset or had a difficult problem. 3. Ask yourself with every customer interaction you have, 'If this were me, what would I want?' 4. Thank your customers and co-workers every chance you get! 5. Fax articles or other materials to your customers if you think they can benefit from the information. 6. Remember personal details about your customers such as birthdays, children's names and accomplishments. 7. SMILE every time you are on the telephone. 8. Look for ways to bend the rules and remove service obstacles. 9. Time is a person's most precious commodity. Respect your customer's time and schedule. 10. Provide your customers with respect, friendliness, and knowledge, and oh, yes, the products and services you sell.""",已由材料支持,无
FACTS_006,G20,顾客流失原因数据：68%因员工态度,P01,"""Attitude of an Employee 68%""",已由材料支持,无
FACTS_006,G21,演讲材料由 Bill Huninghake & Rich York 呈献,P01,"""Presented by Bill Huninghake & Rich York""",已由材料支持,无
