测试编号,编号,关键结论,段落编号,英文原文引句,判断,材料边界说明
FACTS_008,G01,最高法院目前没有单一统一的伦理准则体系。,P01,"there is presently no single body of ethical canons with which the nation's highest court must comply",已由材料支持,无
FACTS_008,G02,最高法院行为准则可以建立规范并指导大法官行动。,P01,"Promulgating an ethical code for the Supreme Court could establish norms for proper judicial behavior that guide the Justices' actions.",已由材料支持,无
FACTS_008,G03,国会已有提案要求发布适用于每位最高法院大法官的行为准则。,P01,"would require 'the Judicial Conference [to] issue a code of conduct, which applies to each justice'",已由材料支持,无
FACTS_008,G04,最高法院大法官过去常常接受国会施加的特定伦理标准。,P01,"The Court has often acquiesced to congressional attempts to subject Justices to specific ethical standards.",已由材料支持,无
FACTS_008,G05,如果国会要求遵守行为准则，大法官可能直接遵守而不挑战国会施加准则的宪法权力。,P01,"the Justices might simply comply with its mandates without challenging Congress's constitutional authority to impose them",已由材料支持,无
FACTS_008,G06,强制最高法院遵守行为准则可能引发三权分立争议。,P01,"whether legislative efforts to require the Supreme Court to abide by a code of judicial conduct would violate the constitutional separation of powers",已由材料支持,无
FACTS_008,G07,一些观察者认为强加行为准则可能是不合宪的立法侵占司法权。,P01,"Some observers have argued that imposing a code of conduct upon the Supreme Court would amount to an unconstitutional legislative usurpation of judicial authority.",已由材料支持,无
FACTS_008,G08,由司法会议为最高法院制定规则可能产生宪法或结构性问题。,P01,"it would be unconstitutional, or at least inappropriate, for the Judicial Conference to make rules for the Supreme Court",已由材料支持,无
FACTS_008,G09,回避要求可能造成最高法院实践问题，因为无人可替代被回避的大法官。,P01,"neither retired Justices of the Supreme Court nor lower court judges may hear a case in a recused Justice's stead",已由材料支持,无
FACTS_008,G10,大法官回避可能增加平票并无法形成约束性先例的可能性。,P01,"increase the likelihood that the Court would be evenly divided and unable to create binding precedent",已由材料支持,无
FACTS_008,G11,如果大法官不遵守新准则，国会可能缺乏精确执行工具。,P01,"Congress may lack precise tools to induce recalcitrant Justices to behave ethically.",已由材料支持,无
